"STOP_SEQ","ALLOC_NO","STOP_ADDR","STOP_STAFF","STOP_TEL","STOP_TYPE"
572,A1022503261645013,경기도 시흥시 박달로 14 (논곡동96)경산세라믹,"","",A
571,A6712503261512717,"2.대광케미칼=대구 서구 이현동42-226","","",D
569,A6712503250931013,"2.미래하우징/남양주시 이패동 560-8","","",D
568,A1022503250842708,용인시 기흥구 탑실로35번길20 (공세동704-7)선인,"","",A
567,A1022503211022718,부산광역시 해운대구 센텀동로 6 (우동1499)홈플러스부산해운점,"","",A
566,A1022503240753819,전북특별자치도 익산시 왕궁면 푸드폴리스로 133(광암리1452)그대로말린,박진영,"",A
565,A1022503222321601,경기도 파주시 월롱면 통일로644번길 57(영태리383-26)조민,"","",D
564,A1022503190944893,경기도 남양주시 화도읍 폭포로242번안길 20-11(장현리169-16)솜씨협동조합,"","",A
563,A6712503221048410,"2.미래하우징=남양주시 경강로164-56","","",D
562,A1022503212156259,전북특별자치도 전주시 완산구 노송여울2길 46 (서노송동627-1),"","",A
561,A1072503211647994,(2):삼진기공:전북 익산시 인화동1가135-12 (담당):임석현사장:010-9477-2828,"","",D
560,A6712503211423583,"2.노창산업=양주시 평화로1677번길26-22","","",D
559,A1072503211226144,(2):동양강철:용인시 처인구 중부대로 1576번길 35 (마평동511-3)/(담당)정명춘사장님010-5272-5948,"","",D
558,A1072503210918489,(2)대성이화:경기도 화성시 양감면 송산리 258-10,"","",A
556,A1022503131030356,경기도 김포시 통진읍 귀전로 13-5(귀전리172-5)세림피엔텍,"","",A
555,A1072503200930194,(2)진흥:경기 양주시 은현면 그루고개로384번길 159(캔17개하차),"","",A
554,A5892503200859022,부산광역시 강서구 대저중앙로46,"","",D
553,A1022503200018868,경기도 김포시 양촌읍 학운산단1로 64-30(학운리3373)그린코스,"","",A
552,A6712503191501103,"2.디에이치/남양주시 수동면 지둔로 76","","",A
551,A1022503190037513,군포시번영로82(부곡동1231),"","",A
550,A6712503181753437,"2.인천 중구 공항동로 296번길 98-114 공항물류단지내 B1블럭 D214호","","",A
549,A6712503181613070,"2.미원상사 전주2공장/완주군 봉동읍 둔산리942-1 /당착 오후1시~오후2시(시간엄수)",박은지님,"",A
548,A1072503181003536,(2):태화:경기 화성시 양감면 은행나무로 170번길 70,"","",A
547,A1072503171014326,(2):삼화페인트:경기 안산시 단원구 별망로 178(성곡동),"","",A
546,A5892503110813560,군포 대야미,"","",D
545,A5532503150022346,인천 고잔동 서울화장품,"","",D
544,A1022503141522773,경기도 파주시 검산로173번길 87 (검산동472-10)월드포장,"","",D
543,A1022503141116958,인천광역시 남동구 남동대로 405 (남촌동614)콜마스크,"","",A
542,A1022503141116958,인천광역시 남동구 남동서로270번길 16 (논현동429-16)알티에스,"","",A
541,A1022503131527408,경기도 남양주시 화도읍 재재기로 26-31(차산리193-3)푸드올마켓,"","",A
540,A1022503131527408,경기도 남양주시 오남읍 양지로281번길 96-209(양지리543-69)네이처,"","",A
539,A1022503130049793,전라남도 담양군 담양읍 에코산단6로 7(삼만리1266)올밀크,"","",A
538,A5532503130027788,화성 마도면,"","",D
537,A6712503121746709,"2.주원산업=완주군 봉동읍 완주산단2로257-24","","",A
536,A1022503120945950,인천광역시 중구 축항대로296번길 56-41 (신흥동3가42-85)아쿠아씨푸드,"","",A
535,A6712503101849305,"2.더블유엘코리아=인천 중구 공항동로 296번길 98-114, 자유무역지역 B-1블럭 D202호",김덕환이사님/박진희대리님,"",A
534,A1072503101315247,(2):남동공장:인천 남동구 고잔동 664-21,"","",A
532,A1022503100858224,인천광역시 남동구 남동동로33번길 28-17 (고잔동716-3)한신단자,"","",A
531,A5532503071607130,안성 미양면,"","",D
530,A6712503071405638,"2.경기 하남시 검단산로 46-10(하산곡동)","","",D
529,A1022503060227773,경기도 용인시 처인구 백암면 박곡로216번길 20-62(박곡리5-2)상촌식품,"","",A
528,A1022503050907734,경기도 평택시 진위면 동부대로 56(가곡리126-1) 고려포장,"","",A
527,A1022503050128542,경기도 군포시 공단로140번길 7 (당정동1085)씨앤에프1공장,"","",A
525,A1022503020246938,경기도 화성시 향남읍 상신로 292(상신리442-1)엠아이에프,주명일,"",A
524,A1022502260923908,용인시 기흥구 탑실로35번길20 (공세동704-7)선인,"","",A
523,A1022502251600158,충청남도 금산군 금성면 어필각로 343(하신리72-1)농업회사법인 비센바이오(주),"","",A
522,A6712502251116224,"2.코오롱=구미시 수출대로48(공단동)","","",A
521,A6712502241732445,"2.경북 경주시 내남면 내외로 1078-16 ",김덕근 부장님,"",D
520,A6712502201611452,미원상사 전주2공장=완주군 봉동읍 둔산리942-1 ,박은지님,"",A
519,A6712502241426921,"2.명진씨투=양주시 광적면 석우리464-50 / 031-855-2300","","",D
517,A6712502241243547,"2.더골드=하남시 광암동174-1/02-540-3216","","",D
516,A1022502220304371,용인 처인구 원삼면 맹리674-1  010-4313-6752  지피피,"","",A
515,A6712502211353698,당착 오후3시~오후5시(도착하기30분전에 미리통화),"","",A
514,A6712502211319554,"2.정무이앤씨=화성시 화산북로19(송산동)/031-238-8060","","",A
513,A1072502210959150,(2):(주)명신기연:경기 화성시 마도면 청원산단3길163,"","",A
511,A1072502201700639,(2)동두천종합운동장테니스장:경기 동두천시 생연동 80/(담당):정건호(익일오전하차),정건호,"",A
510,A1072502201128583,(2):유니온화성:경기도 부천시 오정로 39번길 27(삼정동):캔1빠렛상차(경유),"","",D
509,A6712502201048472,"2.부국철강=광주 광산구 하남산단9번로90(안청동) /062-950-7727","","",D
508,A6712502201046466,/2.인터우드=인천 서구 북항로76-44(원창동),"","",D
507,A6712502201006354,"2.대주켐테크=대구 달서구 성서공단로25길62/010-3802-2236","","",A
506,A1072502200901164,(2):알이랑: 경기도 평택시 팽성읍 팽성북로 97,"","",A
505,A6712502191427246,"2.대연인터내셔널=아산시 음봉면 월암로306/070-7015-1333","","",D
504,A6712502181336112,"2.원일화학=대구 서구 장산로226(중리동)/010-2501-5020","","",A
503,A6712502181335099,"2.영원교역=화성시 남양읍 주석로325번길9/031-356-6364","","",D
502,A6712502181305942,"2.서진타일 경유","","",D
501,A6712502181010410,"2.도어리안=인천 서구 원창동 391-100/032-888-8700/오후6시이전","","",D
500,A1022502180102030,충청남도 논산시 강경읍 잣디길 54-11(채산리230-7)대운식품,"","",A
499,A1022502180013021,경기도 하남시 조정대로 45 (풍산동493)미사센텀비즈  F718GH  아이케이지,"","",A
498,A6712502171415032,"2.대광화학=대구 서구 이현동42-226","","",D
497,A6712502171349879,"2.코오롱=구미시 수출대로48(공단동)","","",A
496,A6712502171343844,중구 장춘단로 275(두산타워빌딩 지하4층(현대면세점 토산하역장),"","",D
495,A6712502171330774,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60","","",D
494,A6712502171322752,오전7시15분(1~2시간전에 미리입차),"","",D
493,A6712502171022071,"2.인천(새롬판넬)=인천 서구 원당대로 245-6=032-566-8686=오후5시30분 이전","","",D
492,A1022502160914587,전북특별자치도 고창군 부안면 복분자로 434-36(용산리840)참바다영어조합,"","",A
491,A6712502152110539,"2.엑스플로어=대구 서구 염색공단천로 61/오전10시","","",D
490,A6712502141617213,"2.법인= 부천시 원미구 옥산로226(도당동161-3)","","",D
489,A6712502141458990,"2.코오롱=구미시 수출대로48(공단동)","","",D
488,A6712502141454980,"2.서진타일=고양시 일산동구 식사동1079","","",D
487,A6712502141448953,"2.도어리안=인천 서구 원창동 391-100/032-888-8700/오후5시30분이전","","",D
486,A6712502141122502,"2.경기도 고양시 덕양구 오금로 193(오금동) ,501동2호","","",D
485,A1022502132011937,경기도 화성시 마도면 마도공단로6길 46-16(쌍송리683-8)본하이텍,김정길,"",A
484,A6712502131455485,"2.새롬판넬=인천 서구 원당대로245-6/032-566-8686/","","",D
483,A6712502131433364,"2.대광화학=대구 서구 이현동42-226","","",D
482,A6712502131405260,"2.아진금속=시흥시 정왕동 1266-3","","",D
481,A6712502131307077,"2.코토세라믹=인천 서구 정서진6로15","","",D
480,A6712502131254046,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60 / 010-7118-0863","","",D
479,A1022502121725261,인천광역시 남동구 남동서로143번길 34 (고잔동680-8)씨앤에이치코스메틱,"","",A
478,A1022502110831603,경기도 파주시 산남로 73 (산남동299-1)삼봉,"","",A
477,A6712502121243543,"2.코오롱=구미시 수출대로48(공단동)","","",A
476,A6712502121054381,"2.도어리안=인천 서구 원창동 391-100=032-888-8700/오후4시~오후5시","","",D
475,A6712502121019276,"2.목우에이치텍=광주 광산구 오선동546-7","","",D
474,A6712502121013267,"2.대광화학=대구 서구 이현동42-226/010-6630-4527","","",A
473,A6712502121001239,"2.동양창고=부산 사상구 학장동275-15","","",A
472,A6712502111420413,"2.원일화학=대구 서구 장산로226(중리동)/010-2501-5020","","",A
471,A6712502111351306,낼착/2.수원시 팔달구 덕영대로 924(매산로1가)/010-5248-5478,"","",A
470,A6712502111010842,"2.대광화학=대구 서구 이현동42-226 / 010-6670-4527","","",A
469,A1072502110947806,(2)에스제이산업:경기 김포시 하성면 귀전로 154번길 123(오전11시하차),"","",A
468,A1072502110945796,(2)서연에코:충북 진천군 문백면 농다리로 128(오후1시하차),"","",A
467,A1072502110941786,(2)현성하이텍:경기 평택시 서탄면 서탄2로 124번지,"","",A
466,A1022502110208541,경기도 성남시 중원구 사기막골로 124 (상대원동190-1)테크노파크비즈센타1201호,"","",A
464,A6712502101320718,"2.부국철강=광주 광산구 하남산단9번로90/062-950-7727","","",D
463,A6712502101253636,"2.새롬판넬=인천 서구 원당대로245-6(오류동)/032-566-8686","","",D
462,A1022502092325863,경기도 화성시 향남읍 만년로 20-8(수직리274-3)스킨맨션,"","",A
461,A1022502091737682,경기도 파주시 탄현면 소리개길 214-50(법흥리32-4),"","",A
460,A6712502071438959,"2.계림타일=경기 김포시 고촌읍 장곡로 58=031-986-3125","","",D
459,A6712502071342824,"2.화성 장안면 석포리","","",A
458,A1022502070106256,경기도 안성시 미양면 제2공단2길 67(계륵리267-1),"","",A
457,A6712502061058212,"2.인천 동구 송현동=128-9","","",A
456,A6712502061038162,"2.대연인터내셔널=아산시 음봉면 월암로306 /070-7015-1333","","",D
454,A6712502051828867,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60","","",A
453,A6712502051449407,"3.경기 고양일산동구 장항동 1784(힐스테이트킨텍스레이크뷰 상가동 302호)","","",D
452,A6712502051449407,"2.경기 고양시 덕양구 원흥동 638(SIB타워1106호)","","",D
451,A6712502051046956,"2.부산(부산고등검찰청)=부산시 연제구 법원로 15=010-6525-2446","","",A
450,A6712502051014843,"3.경기 여주시 현암로21-11=010-4163-5369(현암동)","","",A
449,A6712502051014843,"2.성남시 수정구 산성대로 451=010-2324-1059(단대동)","","",A
447,A1022502050202546,전남 담양군 담양읍 에코길27-9(삼만리1029-4)선인,"","",A
446,A1022502041035582,경기도 평택시 청북읍 청북중앙로 443(고잔리631-16)더팩,"","",A
445,A1022502040003227,경기도 파주시 탄현면 검산로 347(축현리69-1)제뉴인커피,문형민대표,"",A
444,A6712502031403841,"2.대연인터내셔널=아산시 음봉면 월암로306","","",D
443,A6712502031059531,"2.이솔푸르미=경기 김포시 대곶면 대곶남로 401번길 111-5, 가동/010-9272-4945","","",A
442,A1022502030115932,경기도 고양시 일산서구 장자길 101 (덕이동756-5)지마루,"","",A
441,A1022502022205899,대구광역시 달서구 장산남로 30 (용산동230)대구지방법원서부지원,"","",A
439,A1022502021944879,대구광역시 중구 남산로8길 40 (남산동2114-12)칼라원,"","",A
438,A6902501311714558,대전공판장 ,"","",D
436,A1022501310315826,서울특별시 서초구 바우뫼로 91 (양재동154-2) 우성아파트106동902호,안기환,"",A
435,A1022501310134811,경기도 부천시 오정구 오정로 20-14 (삼정동34-37),"","",A
434,A1022501300327575,경기도 김포시 하성면 석평로 102(석탄리626-9) 영남2물류,"","",D
433,A1022501300014552,경기도 고양시 일산서구 덕산로244번길 53 (덕이동1288-3)대성패키지,"","",A
432,A1022501250958211,경기도 김포시 대곶면 율마로172번길 64(거물대리197-1)현우포장,"","",A
431,A1022501250056162,서울특별시 영등포구 경인로82길 3-4 (문래동1가39)센터플러스,"","",A
430,A6712501241539926,"2.수원(고등검찰청)=경기 수원시 영통구 법조로 91=010-2324-1059","","",D
429,A6712501241108112,"2.수원시 장안구 이목로 39 천주교 수원교구","","",D
428,A6712501231831643,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60/최진호대리님","","",D
427,A6712501231620367,대구 수성구 동대구로366(범어동)/이상학대리님/010-2450-8801,"","",D
426,A6712501231521169,"2.동양창고=부산시 사상구 학장동 275-15/051-315-4765","","",D
425,A1022501220103618,대구광역시 북구 검단로31길 33-9 (검단동838-122)나라인쇄,"","",A
424,A6712501211540100,"2.도어리안=인천 서구 원창동391-100/032-888-8700","","",D
422,A6712501171538318,"2.중구 장충단로101","","",A
421,A6712501171457181,"2.일호기업/인천 서구 누리1로 30/010-3025-6983","","",A
420,A6712501161126195,"2.정상=양주시 남면 감악산로215번길 211-79(구암리)","","",D
419,A1022501160141699,경기도 용인시 기흥구 서천동로 22 (서천동801) 힐스테이트서천511동1601호,홍영주,"",A
418,A1022501152314677,경기도 안산시 단원구 번영로 142 (성곡동668-7),"","",A
417,A1072501151319723,(2)세한텍스타일: 경기도 포천시 가산면 정금로 153번길 57,"","",A
416,A6712501151123577,"2.금호상사=경기 시흥시 정왕동 1699-9","","",D
415,A6712501150919321,"2.경기도 남양주시 진접읍 금강로영지동2길 13","","",D
414,A6712501141557855,"2.중앙보훈병원=서울 강동구 둔촌동 6-2","","",A
413,A6712501141523761,"2.KNP이노텍=광주 광산구 평동산단로152 /010-8397-7312","","",D
412,A6712501141403554,"2.남경유화=대구 서구 상리동31-4(또는 부강케미칼)","","",D
411,A1022501140126707,경기도 성남시 중원구 둔촌대로457번길 13 (상대원동305)샤니,"","",A
410,A1022501140126707,경기도 성남시 중원구 사기막골로31번길 18 (상대원동149-3)파리크라상,"","",A
409,A1022501130021234,안산시 단원구 장자골로67(성곡동603-1)  신안포장공업2공장,"","",A
408,A1022501130010232,경기도 이천시 부발읍 중부대로1997번길 46(고백리327-2)푸드올마켓,"","",A
407,A1022501130000231,경기도 평택시 청북읍 청북중앙로 443(고잔리631-16) 더팩,"","",A
406,A1022501122255215,대구광역시 중구 남산로8길 40 (남산동2114-12)칼라원,"","",A
405,A6712501100941911,"2.도어리안=인천 서구 원창동 391-100","","",D
404,A6712501091557367,"2.대광케미칼=대구 서구 이현동42-226","","",A
403,A6712501091557367,"2.대진창고=양산시 상북면 소토리519/055-387-4922","","",D
402,A6712501071600880,"2.목우에이치텍=광주 광산구 오선동 546-7","","",D
401,A6712501061614682,오전중/2.경성산업개발=양주시 남면 입암리 408-5=010-2788-6482,"","",D
400,A1022501060310412,충청북도 음성군 대소면 대금로105번길 92-27(오류리552-14),"","",A
399,A1022501060152388,서울특별시 송파구 송이로 88 (가락동70-20) 가락대림아파트2동310호,서성찬,"",A
398,A1022501060015368,경기도 김포시 통진읍 귀전로 13-5(귀전리172-5)세림피엔텍,"","",A
397,A1022501052047349,경기도 수원시 영통구 덕영대로 1462-14 (망포동728)힐스테이트 영통113동2304호,"","",A
396,A1022501052018346,경기도 안산시 단원구 산단로 169 (원시동726-3)한국몰렉스,"","",A
395,A6712501031643942,"2.법인공장=부천시 원미구 옥산로226(도당동161-3)/오후3시","","",D
394,A1022501031508615,인천광역시 서구 청라커낼로288번길 26 (청라동157-10)현대썬앤벨더텔스,"","",A
393,A6712501021703438,"2.대광화학=대구 서구 이현동42-226/010-6670-4527","","",A
392,A6712501021424087,"2.새롬판넬=인천 서구 원당대로 245-6","","",D
391,A1072501021045728,(2)(주)SNOGEN:충남 천안시 동남구 광덕면 세종로 4162(32드럼),"","",A
390,A1022501020240253,인천광역시 중구 축항대로296번길 56-41 (신흥동3가42-85)아쿠아씨푸드,"","",A
389,A1022501020211242,경기도 하남시 미사강변서로 25 (풍산동489)어썸퓨어,"","",A
388,A1022501020200241,경기도 고양시 일산동구 성현로268번길 34 (성석동450-9)교하식품,"","",A
387,A1022501011917175,경상북도 고령군 다산면 새나정길 3(나정리154-1)웰빙식품전문기업,"","",A
386,A6712412311935062,"오전9시30분/2.고양(경기도 고양시 덕양구 삼송로 240,스칸센 202동 지하)","","",D
385,A6712412311917043,"3.한양분체도장=인천 서구 도담로38/032-566-0988","","",D
384,A6712412311917043,"2.새롬판넬=인천 서구 원당대로 245-6=032-566-8686","","",D
383,A6712412311910037,"2.대진창고=양산시 상북면 소토리519 / 055-387-4922","","",D
382,A6712412311751950,당착/2.인천 계양구 장제로 878(서해아파트 상가 1층),"","",A
381,A6712412311023411,"2.새롬판넬=인천 서구 원당대로245-6/032-566-8686/오후5시30분이전","","",D
380,A6712412310939316,"2.이화산업=대구 서구 염색공단천로8길7(비산동) / 053-352-7314","","",A
379,A6712412310932307,"2.새롬판넬=인천 서구 원당대로245-6(오류동)/032-566-8686","","",D
378,A6712412310832155,"2.부산 진구=낼착 오전12시(시간엄수/이전하차X)","","",A
377,A6712412310742102,"2.미성종합자재=경기 고양시 덕양구 고양대로 1569-1(성사동300)","","",D
376,A1022412310018070,경기도 김포시 하성면 월하로859번길 144(마곡리152-3)티더블유씨,김태훈,"",A
375,A6712412302238061,"2.목우에이치텍=광주 광산구 오선동546-7/062-958-7062","","",D
374,A6712412302149011,"2.새롬판넬=인천 서구 원당대로245-6=032-566-8686","","",D
373,A6712412302101969,"2.대주켐테크=대구 달서구 성서공단로25길62/010-3803-2236","","",A
372,A6712412302057965,"2.정상=양주시 남면 감악산로215번길 211-79(구암리)/031-855-7998","","",D
371,A6712412302045953,"2.금호상사=시흥시 정왕동 1699-9=031-313-7685(오후4시~오후5시)","","",D
370,A6712412301939905,"2.대성=인천 중구 운남동1709-1","","",D
369,A6712412301847876,"2.부국철강=광주 광산구 하남산단9번로90(안청동) /062-950-7727","","",D
368,A6712412301841870,"2.코오롱=구미시 수출대로48(공단동)","","",A
367,A6712412301836869,"2.디에이치케미칼=고령군 다산면 다산산단3길102/054-954-9490","","",A
366,A6712412301822857,"2.도어리안=인천 서구 북항로120번길13-37/오후6시 이전","","",D
365,A6712412301531656,"2.대연인터내셔널=아산시 음봉면 월암로306/070-7015-1333","","",A
364,A6712412301443524,"2.현대시티아울렛=금천구 디지털로10길9/010-6487-7139","","",A
363,A6712412301441518,"2.현대시티아울렛=대구 동구 동대구로454/010-7510-1680","","",A
362,A6712412301055184,"2.안양시 만안구 오리로52번길25-12/010-4622-7575","","",A
361,A1022412282336528,경기도 시흥시 포도원로116번길 11-1 (신천동861-12)담푸른,"","",A
360,A1022412281602497,서울특별시 동작구 흑석한강로 12 (흑석동335) 흑석한강센트레빌107동702호,한신,"",A
359,A1022412272317375,전북특별자치도 군산시 새만금산단1로 3 (오식도동1029),"","",A
358,A1022412271858272,경기도 용인시 기흥구 탑실로35번길 20 (공세동704-7)선인,"","",A
357,A6712412270950666,"2.KNP이노텍=광주 광산구 평동산단로152(월전동)=010-8397-7312","","",D
356,A6712412261751356,"2.대광화학=대구 서구 이현동42-226","","",A
355,A1022412260308293,경기도 하남시 샘재로 31-23 (교산동158)프랜즈푸드,"","",A
354,A1022412251824165,경기도 김포시 대곶면 대곶북로 96(초원지리523-4)화랑팩키지,"","",A
353,A7232412250118087,경기도 시흥시 희망공원로28,엄태진 이사,"",D
352,A6712412241943970,"3.엠브라물류센터=하남시 감일동 186-1=010-5211-5577","","",D
351,A6712412241943970,"2.HQ창고=하남시 상산곡동 374-1=031-796-8101","","",D
350,A6712412241838920,"2.원동판넬=파주시 광탄면 우랑길 170/031-959-1401/오후6시","","",D
349,A6712412241417431,오후4시30분/2.새롬판넬=인천 서구 원당대로 245-6=032-566-8686,"","",D
348,A6712412241120195,"2.구로(신성정밀) 신도림로 11다길 34(신도림동)=010-4252-1033","","",A
347,A1072412231802802,경북 포항시 남구 대송면(경유),"","",A
346,A6712412231541429,"2.에스지세라=인천 서구 원창동 393=032-572-5783","","",D
345,A6712412231201933,"2.목우에이치텍=광주 광산구 오선동546-7/062-958-7062","","",D
344,A6712412231034737,"2.봉민케미칼/경기 시흥시 범안로 311번길 26(계수동)","","",D
343,A6712412230812475,"2.원일화학=대구 서구 장산로226(중리동)/010-2501-5020","","",A
342,A1022412230111417,서울특별시 광진구 용마산로1길 107 (중곡동140-5)힘찬,"","",A
341,A6712412222344388,"2.태진스틸= 안산시 성곡동617 /031-508-6405","","",D
340,A6712412222137279,"2.대광화학=대구 서구 이현동42-226","","",A
339,A6712412222116257,"당착/2.화성시 정남면 내향로360 ,우경축산/010-2456-8442","","",A
338,A6712412222054239,"2.대광화학=대구 서구 이현동42-226","","",A
337,A6712412222015208,"2.비엠비2공장=안산 단원구 성곡동 617=031-508-6405/오후4시이후","","",D
336,A1022412221857121,경기도 파주시 월롱면 통일로644번길 579영태리383-296)조민,"","",A
335,A6712412221442962,"2.새롬판넬=인천 서구 원당대로245-6/032-566-8686/오후5시30분이전","","",D
334,A6712412221200887,당착/2.골든비닐=남양주시 화도읍 재재기로 74번길 97-53=010-8513-0129,"","",A
333,A1022412210113597,경기도 김포시 통진읍 김포대로2462번길 145(옹정리5-1)매직월드,"","",D
332,A1022412210034595,남양주시화도읍재재기로26-31(차산리193-3)푸드올마켓,"","",A
331,A1072412200911819,경기도 부천시 오정로 39번길 27(삼정동),"","",D
330,A6712412192144598,"2.부국철강=광주 광산구 하남산단9번로90(안청동)/062-950-7727","","",D
329,A6712412191704506,"2.서대문구 연희로160(연희동)","","",D
328,A6712412190013323,"2.부국철강=광주 광산구 하남산단9번로90(안청동)/062-950-7727","","",D
327,A6712412181759236,"2.지지엠법인공장=부천시 원미구 옥산로226(도당동161-3)","","",D
326,A6712412171659997,"3.서울 서초구 동작대로 204(서울방배경찰서 5층)","","",A
325,A6712412171659997,"2.서울 서초구 반포대로 179 서울서초경찰서 5층","","",A
321,A6712412171625927,"3.서울 금천구 시흥대로 73길 50 본관1층","","",A
320,A6712412171625927,"2.서울 양천구 목동동로 99(서울양천경찰서 본관 1층)","","",A
319,A6712412171624921,"4.서울 서대문구 충정로 13 삼창빌딩4층","","",D
318,A6712412171624921,"3.서울 마포구 마포대로 183 서울마포경찰서 3층","","",A
317,A6712412171624921,"2.서울 마포구 마포대로4가길33 광역수사단","","",A
316,A6712412171622918,"서울 송파구 중대로 221 ,5층","","",A
315,A6712412171622918,"2.강남구 개포로 617 ,서울 수서경찰서 별관2층","","",A
314,A6712412171621916,"3.서울 중랑구 신내역로 3길 40-10 서울중랑경찰서 1층","","",A
313,A6712412171621916,"2.서울 노원구 노원로 283 서울 노원경찰서 1층","","",A
312,A6712412171431735,"3.세종시 시청대로 190=세종남부경찰서","","",A
311,A6712412171431735,"2.세종시 한누리대로 1978=세종경찰청","","",A
310,A6712412171402658,"2.서울특별시 강서구 방화대로 49길 6-4 유성빌딩 2층=010-3200-9955","","",A
309,A6712412161635001,"3.서울 동대문구 장한로12길 62=010-6228-6850","","",A
308,A6712412161635001,"2.서울 동대문구 악령시로21길 29=010-9148-2964","","",A
307,A6712412161632990,"2.서울 동작구 사당로 310=이수역 지하1층=010-5686-8796","","",A
306,A7232412152126883,경기도 시흥시 희망공원로28,엄태진 이사,"",D
305,A6712412151726850,"2.경기 수원시 장안구 창룡대로223=010-3893-9872","","",A
